Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
N.Y. Jets,LA Chargers,-7,-5.86,0.74,-3,,-3.94,-1.31,-5,-7.75,6,-3.58,-11.07,-2.94,-4.9,-1.01,-6.46,-5.13,-0.46,4.88,-6,-6.5,-2.45,-5.5,-5.69,-5.87,-6.6,-6.5,-7,-6.76,-2.76,-2.73,-1.72,-2.89,-4.5,0.32,-7.46,-6.6,0.72,-5.31,-4.6,-4.7,-10,-3.5,-2,1,-7.6,-8.5,-5.11,-6.8,0.5,-5,2.5,-10,-7.54,,-4.15,-7,7,-0.59,,-5.07,0.14,-3.52,-6.6,-2.7,0.1,-5,3.4349517319,14,7,16
New England,Buffalo,11,13.3,7.55,11,,12.42,3.42,14,13,13,13.42,17.1,10.76,11.96,8.71,15.08,14.78,13.67,8.18,17,11,14.88,12.9,7.91,14.68,14.2,11,13,17.91,10.24,14.42,11.61,10.02,13.8,6.67,14.83,13.9,7.75,14.69,15.2,13,16.7,15,11,11,15.5,10.2,12.23,14.2,7.5,17,4,5.8,16.19,,12.9,15,13,7.03,,10.9,11.36,14.15,11.76,12.2,8.07,12.71,3.3935701531,16,37,16
New Orleans,Atlanta,5,5,5.68,6,,5.46,3.65,6,9.5,4,7.64,6.18,6.36,4.53,5.66,4.29,7.68,7.5,4.76,6,5,8.68,4.6,2.05,6.48,6,6,5.5,3.56,6.24,6.46,7.38,8.07,3.7,4.24,4.44,5.7,3.78,8.89,4.9,5.69,8.1,8.5,4,1,3,5.5,6.01,6.4,3.5,10,3,3.2,6.83,,8.75,4,2,1.77,,5.63,7.93,5.32,6.19,3.9,-0.52,3.31,2.1829394047,13,23,16
Philadelphia,Oakland,9,11.82,15.2,15,,13.22,7.36,13,16,8,16.13,28.8,11.73,15.77,9.77,10.05,16.49,7,7,19,9.5,17.53,10.1,14.48,12.67,12.9,8.5,9,23.06,12.14,15.2,15.19,12.67,11.3,8.94,9.54,11,12.29,17.44,10.5,12.43,22.6,16.1,10,10,19.7,4.8,9.07,14.8,9,21,9,6.3,12.2,,16.95,8.5,15,8.33,,11.83,13.21,9.91,6.63,10.7,3.06,9.19,5.231454871,10,19,16
San Francisco,Jacksonville,-3.5,-8,-8.81,-9,,-7.68,4.02,-5,-6,-11,-10.22,-15.89,-9.27,-6.23,-5.83,-8.52,-12.24,-7.21,-7,-10,-4.5,-9.89,-4,-3.87,-10.96,-7.3,-4,-5.5,-8.31,-8.46,-10.31,-9.65,-11.67,-3.5,-4.64,-7.47,-7.4,-5.39,-13.03,-8.1,-7.63,-11.1,-6.4,-7,-3,-10.8,-4.5,-5.84,-7.5,-2,-17,1,-8.6,-6.21,,-9.9,-6.5,-12,-2.51,,-8.35,-6.64,-7.76,-6.72,-6.1,0.56,-6.14,3.9319712588,33,44,16
Tennessee,LA Rams,-5.5,-5.16,-5.32,-8,,-6.88,2.22,-7,-8,-4,-11.42,-13.16,-4.97,-9.67,-3.35,-2.03,-12.3,-14.1,-10.88,-11,-5.5,-10.58,-7.2,-7.97,-8.09,-6.9,-6.5,-7,-9.89,-6.66,-8.91,-7.08,-11.62,-8,1.82,-4.27,-6,-4.74,-14.65,-3.9,-7.35,-12.3,-7.5,-6,-4,-16.1,-3.4,-5.72,-8.1,2.5,-15,4,-1,-3.01,,-10.95,-3,-13,0.26,,-10.27,-8.14,-7.64,-8.07,-3,5.81,-4.47,4.8757295716,27,23,16
Washington,Denver,3,4.15,2.08,6,,5.24,-0.51,3,9.5,8,7.1,8.35,4.38,4.11,3.99,3.84,7.16,10.39,9.78,4,3,8.55,4.5,2.72,4.92,4.5,3.5,4,5.13,5.14,7.26,6.8,1.94,5.6,4.66,5.54,4.7,5.12,7.83,3.9,4.76,3.9,7.2,2,2,3.4,3.9,4.57,4.3,4.5,11,3.5,3.3,5.76,,6.2,5,12,4.81,,5.13,5.64,3.19,2.09,6,2.02,3.44,2.2613565995,11,27,16
Atlanta,Carolina,4,1.89,-0.54,-0.25,,2.39,3.57,3,5.1,-1,1.99,0,2.01,2.53,2.4,2.09,1.7,4,1.18,5,4,1.89,4,1.23,1.9,3.3,4,3,0.96,1.01,1.64,0.73,-0.12,4,1.08,4.58,3.8,-0.51,1.01,2.9,2.11,1.5,3,3,4,3.9,7.6,5,3,4,0.01,4.5,1,3.5,-0.07,-0.15,2.5,5,2.11,,0.95,0.53,3.06,5.78,3,6.05,3.03,1.8077657876,10,22,17
Baltimore,Cincinnati,8,10.31,9.24,8,,10.28,6.41,11,18,7,10.82,20.82,10.9,11.23,8.12,8.85,12.39,12.5,3.92,14,8.5,12.32,9.8,10.99,11.57,13.1,9.5,10,12.59,9.91,12.1,9.58,13.47,10.2,6.39,9.38,12.6,6.76,12.77,9.1,10.46,11.1,13.2,7,5,15.9,9.5,6.92,13.6,1.5,13,5,1.5,10.46,13.48,10.7,11,7,5.76,,10.44,9.27,5.7,6.67,8.2,1.83,9.76,3.8885279657,31,27,17
Denver,Kansas City,4.5,-5.32,-2.3,-6,,-4.03,4.2,-3,-4.9,7,-8.7,-11.17,-4.63,-4.99,-2.5,-4.8,-8.05,-3.33,-0.77,-6,3,-6.52,0.1,-4.5,-6.12,-6,3.5,-3,-8.4,-7.69,-5.76,-5.58,-5,-3.3,-1.43,-0.83,-6.1,-3.74,-8.72,-4,-4.8,-5.4,-4.7,-3,-1,-8.9,3,-3.98,-6.4,-4,-11,1,-3.2,-3.12,-8.79,-3.3,-0.01,6,-0.93,,2.5,-6.2,-1.32,3.74,-6.3,1.33,-4.8,3.7383912046,27,24,17
Detroit,Green Bay,7,3.29,-0.12,4,,4.4,1.09,4,3.6,5,5.07,6.62,5.33,3.66,4.68,1.87,5.23,4,-0.23,4,6,5.65,6.3,4,4.27,3.2,6.5,7.5,2.72,4.71,4.5,4.34,1.84,5.5,4.53,5.77,3,3.04,4.52,2.8,4.5,6.1,7.4,2,3,3.4,8.4,3.17,3.7,7,5,2.5,4,4.91,7.14,5.05,6.5,6,3.39,,4.64,6.4,4.82,5.39,2.8,0.15,6.24,1.7364467377,11,35,17
Indianapolis,Houston,5.5,-0.97,-1.22,-2,,0.43,-0.25,3,2.8,-9,0.99,2.61,-0.11,2.78,0.07,-1.26,-1.05,4,-3.71,4,4,-2.32,6.3,0.94,-1.31,3.3,4.5,4,2.9,-1.29,-0.55,0.16,-2.13,8.7,1.81,-0.13,3.4,1.46,-1.3,-0.7,-0.11,-6.2,2.8,-2,2,11.4,2.2,-0.73,3.5,-3,-3,-1.5,1.3,-1.32,-2.67,0.7,4.5,-3,1.9,,-3.79,-3.6,-4.4,5.27,-1.6,3.8,2.26,3.4105168135,13,22,17
LA Chargers,Oakland,6.5,6.37,10.94,6,,8.13,7.89,8,15.2,7,9.68,13.51,8.87,8.71,6.86,4.6,8.83,13.8,7.96,10,6.5,9.07,8.8,8.01,7.55,9.3,7.5,9,12.26,7.31,10.69,7.82,6.84,9.6,5.55,6.08,8.4,4.02,9.57,5.7,8.29,8.1,11.4,4,5,8.8,9.1,5.47,10.2,4,11,3.5,3.8,9.17,10.37,10.3,9,7,4.99,,7.57,4.27,2.63,4.56,5.8,2.59,8.29,2.8535285744,10,30,17
LA Rams,San Francisco,-4,12.75,9.22,16,,12.24,3.65,12,26.4,4,15.6,24.34,12.87,11.95,10.75,13.27,7,7,12.15,15,-2.5,18.37,6.7,9.43,15.87,13.7,-3.5,3.5,12.65,11.81,12.23,14.24,14.07,9.4,9.27,9.47,13.3,11.44,18.35,13.9,12.12,20.4,14.5,11,8,15.5,,11.36,14.1,11,24,3,9.6,11.99,15.62,15.35,0.01,6,7.87,,7.01,13.2,14.75,-10.84,10.7,2.28,10.91,5.3811488391,34,13,17
Miami,Buffalo,-2.5,1.21,3.54,0.25,,1.38,4.4,3,5.3,1,-0.24,-2.32,1.12,0.51,1.7,1.7,2.42,1.33,7.06,3,-1.5,2.16,-0.2,-0.36,1.32,1.8,-2.5,-2.5,-2.54,-0.39,2.01,1.13,0.75,2.6,1.08,-0.72,1.6,0.12,1.25,2.4,1.32,2.7,3.6,2,1,4,0.5,-1.44,1.3,-0.5,1,3,-2.2,4.12,-1.85,2.95,2.5,1,2.54,,0.17,1,6.69,-1.72,2,2.08,1.53,1.8863473861,22,16,17
Minnesota,Chicago,11,12.05,12.29,11,,12.75,5.25,12,18.8,22,11.9,24.81,11.19,12.52,8.27,12.8,12.3,7,7,13,11,14.17,13.6,10.93,11.89,12.7,11,12.5,20.65,11.01,13.49,14.1,10.78,15.2,10.88,14.08,12.3,10.78,12.92,11.8,12.3,13.7,14.4,8,11,14.4,10.2,9.99,13.4,9.5,17,6,6.6,15.44,15.17,12.3,14.5,22,11.25,,10.06,9,10.24,7.76,10.4,6.1,11.81,3.987623906,10,23,17
N.Y. Giants,Washington,-3,-3.58,-5.19,-7,,-4.61,1.73,-2,-10.2,-3,-5.34,-11.02,-2.36,-5.16,-1.6,-2.87,-5.39,-3,-5.19,-4,-3,-4.56,-3.8,-5.57,-3.66,-4.9,-3,-3,-8.37,-4.69,-5.3,-5.5,-3.94,-4.1,-3.26,-2.52,-4.6,-6.29,-5.91,-0.4,-4.6,-7.5,-4.7,-2,-2,-7.5,-10,-2.93,-5,-1,-11,-2.5,-8,-1.22,-9.02,-1.5,-4.5,-5,-2.26,,-6.12,-4.93,-5.07,-5,-0.9,2.41,-3.72,2.9029287271,10,18,17
New England,N.Y. Jets,14.5,18.28,11.15,15,,15.4,5.31,16,10.7,10,16.79,26.86,11.87,15.15,9.81,21.27,16.05,15.77,7,19,14.5,16.74,16.8,17.3,17.28,16.4,15,16,22.94,13.21,17.7,15.89,11.81,18.1,11.2,18.07,16.9,12.11,15.75,17.9,15.89,14.9,16.5,11,16,20.4,15.6,13,16.5,12.5,21,3.5,12.8,19.13,16.32,15,17,16,11.87,,14.89,11.33,13.1,11.1,14.1,10.36,15.58,4.2393659168,6,26,17
Philadelphia,Dallas,-3,9,8.95,12,,8.22,4.64,11,14.5,-3,12.27,18.66,8.78,9.91,7.82,8.08,11.34,13.53,5.63,11,-1.5,12.81,1.4,10.46,9.31,6.9,-3,2,15.16,8.51,9.32,11.53,8.86,5.3,8.31,4.97,6,10.68,8.03,7.8,8.77,12.4,12.8,7,4,11.2,-4.5,5.77,8,5.5,15,4.5,5.7,8.77,12.26,11.9,0.01,-4,6.88,,-0.17,9.27,7.79,-4.13,8,1.43,5.71,4.6224372858,6,0,17
Pittsburgh,Cleveland,6.5,20.69,16.9,21,,17.49,8.72,17,24.4,4,20.39,35.62,15.32,18.76,12.08,23.35,7,16,7,19,8,21.73,15.9,20.44,19.27,18.8,10.5,14,27.83,18.41,22.19,22.12,14.26,18.4,23.18,19.57,18.3,7,20.2,18.4,18.41,20.5,18.8,12,15,20.5,1.6,13.95,21.8,14,31,8,11.2,18.31,19.67,20.5,0.01,2,22.92,,17.53,13.2,11.33,4.03,17.5,8.74,18.09,6.8572265204,24,28,17
Seattle,Arizona,8,8.61,7.79,7,,7.77,-3.46,7,5.9,4,8.82,10.01,8.2,7.99,6.52,8.87,10,13,11.74,9,8,10,7.8,7.06,9.07,8.7,9,10,8.25,8.11,8.78,7.9,11.3,7.6,5.49,9.47,8.9,7.63,8.82,8.8,8.11,7,10.4,7,6,6.5,6.2,6.45,8.3,10.5,11,1,5.3,13.47,10.65,8.4,10,4,5.36,,8,6.87,6.35,8.33,8.2,2.86,8.01,2.6736233926,26,24,17
Tampa Bay,New Orleans,-5.5,-6.81,-9.33,-10,,-7.54,4,-6,-16.3,1,-9.04,-17.36,-4.9,-7.02,-2.97,-5.92,-8.93,-9.5,-12.79,-7,-5.5,-8.66,-6.9,-9.53,-6.81,-7.9,-6.5,-7.5,-10.15,-8.49,-8.3,-9.83,-9.35,-6.2,-5.32,-7.03,-7.3,-6.22,-10.43,-3.7,-7.9,-14.3,-7.7,-5,-6,-5.3,-8.5,-8.13,-8,-1.5,-15,-3.5,-7.9,-4.16,-10.21,-9.2,-5.5,-9,-4.23,,-9.95,-6,-9.08,-3.84,-4.8,2.06,-4.79,4.0221934597,24,31,17
Tennessee,Jacksonville,2.5,-2.95,-2.36,-5,,-2.59,0.73,-1,-6.2,16,-5.49,-9.07,-5,-2.22,-3.1,-0.7,-7.91,-5.5,-3.68,-4,1.5,-5.69,1.8,-1.15,-5.91,-2.4,3,3,-2.77,-3.99,-4.39,-3.71,-9.67,-2.4,0.77,4.77,-2.2,-0.69,-8.41,-2.6,-2.55,-10.9,-1.9,-3,-1,-0.6,-0.3,-2.55,-2.8,5.5,-9,0.5,2.8,-3,-5.62,-6.25,-1.5,-2,1.13,,1.34,-3.87,-2.48,-1.14,-1.3,3.43,-1.71,4.3497718555,10,15,17
Jacksonville,Buffalo,8.5,6.42,11.7,6,,8.85,9.33,7,17.2,13,7.72,11.5,11.67,4.79,9.39,4.83,12.41,11.57,13.84,9,8.5,10.78,7.3,1.11,10.03,9.4,8.5,7.5,3.53,7.08,7.95,6.37,11.37,7.1,5,7.41,8.9,0.33,12.98,10.3,9,14.9,,11,5,10.1,15.7,6.87,9.5,0.5,,7.5,2.9,12.2,8.81,10.9,10,16,2.7,,7.56,9.19,11.8,9.34,6.7,,,3.4975942173,3,10,18
Kansas City,Tennessee,8.5,8.58,3.99,7,,7.15,5.57,6,7.2,15,7.95,7.17,6.96,4.46,6.08,8.63,8.5,1.98,9.86,9,8.5,9.47,6.7,6.11,9.42,8.1,8.5,7.5,4.84,7.78,7.66,7.96,9.07,5.4,4.16,7.21,8,6.94,8.09,7.9,7.21,9.6,,9,9,3.5,6.1,5.62,8.7,6,,3,1.1,9.06,9,7.75,7,14,6.35,,7.31,7.06,3.2,7.45,7.6,,,2.2915328769,22,21,18
LA Rams,Atlanta,6,1.31,0.05,4,,3.47,-1.09,3,12,-9,3.99,6.94,6.57,0.99,5.74,-0.78,4.67,7.22,0.71,1,5.5,6.7,6.9,-1.37,4.22,5.4,6.5,4,-0.25,2.78,1.91,3.03,7,7.8,5.04,3.31,5,-0.76,6.8,4.4,3.5,2.2,,3,1,1.2,3.5,0.66,5.7,3.5,,0.01,3.3,4.15,4.45,5.4,4.5,1,3.08,,3.84,9.81,2.6,6.99,1.3,,,3.3055671024,26,13,18
New Orleans,Carolina,6.5,4.79,4.46,4,,5.58,7.57,5,9.2,1,7.83,6.99,6,4.88,5.62,4.39,6.75,7.57,2.88,7,6.5,6.81,5.8,2.51,6.15,5.8,7,5.5,5.87,5.78,6.12,5.67,5.93,5,3.13,6.01,5.9,1.97,7.17,5,5.87,8.4,,6,4,6.2,9.1,7.05,6,4.5,,5.5,1,6.97,6.42,5,4,2,3.21,,3.94,7.31,4.46,8.13,4.7,,,1.7094528576,26,31,18
Minnesota,New Orleans,5,3.01,6.49,4,,4.14,9.41,6,5.3,,4.18,8.35,4.32,5.99,3.89,2.68,1.74,3.81,4.99,5,5,3.7,4.7,5.62,2.39,4.7,5,3.5,9.66,3.15,4.79,4.27,0.65,5.4,4.25,3.11,4.8,1.18,2.74,4.2,4.18,0,,2,2,10.7,0.6,5.98,4.8,3.5,4,-0.5,1,6.2,4.48,3.9,6,,3.19,,2.47,-2.3,1.79,6.12,3.1,,5.36,2.4859766196,24,29,19
New England,Tennessee,13.5,12.97,8.68,12,,11.59,8.37,10,8.2,,13.65,18.16,9.85,9.64,8.81,14.6,14.58,12.5,12.09,14,13.5,14.51,10.7,7.71,14.22,11.5,13.5,13.5,13.68,11.55,13.51,14,11.58,7.9,6.69,14.41,11.7,11.09,14.01,12.7,11.7,14.3,,15,14,8.3,7,15.45,11.7,7.5,17,2,5.6,15.44,13.12,12.6,11.5,,6.89,,9,9.68,11.31,13.03,10.8,,10.92,3.2881202804,14,35,19
Philadelphia,Atlanta,-2.5,3.25,4.97,5,,3.29,0.42,2,4.2,,2.71,7.9,6.45,-0.75,5.75,3.29,4.49,4.38,4.33,2,-1.5,6.06,-3.3,-2.73,5.36,5.2,-3,-3,0.73,3.75,1.92,6.07,5.31,-3.7,4.5,2.21,5.6,2.36,5.53,5.3,4.2,4.3,,5,3,-4.2,-3.5,7.56,5.1,5.5,7,2,-2.6,6.89,5.38,6.5,0.01,,-0.15,,3.87,7.68,2.09,-1.58,3.8,,0.59,3.2135037103,10,15,19
Pittsburgh,Jacksonville,7,5.56,4.23,4,,4.35,6.08,6,2.9,,3.74,9.6,0.82,4.19,1.27,8.09,0.82,-0.5,-1.67,4,7,3.73,6.2,6.83,2.8,6.1,7,7,10.67,3.35,2.64,5.57,-0.2,5.8,5.45,5.81,6.4,5.24,1.56,4.9,4.23,1,,3,7,5.1,3.9,5.83,5.9,7.5,4,2.5,-2.5,6.96,4.66,2.5,5.5,,5.98,,0.11,2.26,2.65,3.87,5.8,,4.99,2.6555084874,45,42,19
New England,Jacksonville,7.5,8.87,0.5,,,7.19,8.74,9,6.9,6,9.17,12.92,3.61,7.69,4.27,12.02,4.46,4.25,-1.57,10,7.5,7.02,7.7,6.43,7.31,7.6,9,9,14.3,7.05,8.2,8.36,2.1,6.4,5.42,9.21,8,6.23,3.93,8.2,7.6,2.3,,7,11,10.6,,12.14,7.4,10,8,0.01,1.9,8.65,8.15,5.7,8.5,3,6.48,,3.59,4.78,6.28,4.74,8.5,,8.43,3.0871900953,20,24,20
Philadelphia,Minnesota,-3,2.11,-0.21,,,1.46,1.77,1,2.6,-3,2.75,-0.56,3.45,-1.39,3.52,2.36,1.9,3,4.2,2,-1.5,2.96,-0.4,-0.83,2.85,2,-3,-3,0.86,0.35,-0.45,2.68,2.26,2.2,2.61,0.12,1.2,2.49,-0.76,3.2,2,1.2,,3,3,-2.7,,-0.51,2.1,4.5,4,4.5,-1.4,3.02,0.73,2.65,-1,5,2.19,,0.36,5.59,0.87,-1.22,2.8,,-0.54,1.8892419494,7,38,20
New England,Philadelphia,4.5,1.4,-2.39,-1,,0.72,1.34,1,-5,1,-0.73,6.06,-0.47,-0.67,0.1,3.52,-1.4,-2.84,5.27,-1,3.5,-0.77,0.9,-1.81,0.98,0.3,4.5,6,6.13,0.8,0.1,-1.64,-0.46,-2.7,0.41,3.3,1.5,-0.02,-1.67,2.2,0.35,-3.7,,1,5,-3.2,,4.9,-0.3,2,2,-3.5,1.7,0.93,3.75,0.9,15,-1,0.26,,-1.6,-0.61,1.29,5.61,1,,2.85,3.1838586802,41,33,22
