,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
291,2016,Jameis Winston,72,-7.34770705,1,70.2,567,535,70.2,535,73.52860382,72.65351633,74.20472115,TB
314,2016,Jimmy Garoppolo,73.8,-5.168377823,62,54.88064516,63,31,66.9,4,73.52860382,73.15101615,68.14693144,NE
327,2016,Joe Flacco,66.5,1.624229979,18,71.02276859,672,4070,65.6,413,73.52860382,71.69758957,71.58420352,BAL
336,2016,Joe Webb,52,-0.2,199,45.44782609,0,152,45.6,0,73.52860382,70.9449003,63.6915814,
348,2016,Josh McCown,55.7,7.162902122,81,60.16126497,165,1094,60.3,292,73.52860382,67.89102915,65.15522074,CLE
364,2016,Kirk Cousins,80,-1.965092402,102,67.02111755,606,950,71.6,543,73.52860382,71.00529282,71.01415503,WAS
371,2016,Marcus Mariota,66.8,-7.161533196,10,63.5,451,370,63.5,370,73.52860382,71.54433461,71.06505414,TEN
382,2016,Matt Barkley,73.5,-4.018480493,98,27.13121019,216,50,0,0,73.52860382,72.0319137,66.34668657,CHI
398,2016,Matt Cassel,51,4.293634497,230,54.70953877,51,2549,52.4,204,73.52860382,61.68128428,55.18451606,TEN
407,2016,Matt Ryan,92.2,1.292950034,3,82.7011155,534,4530,82.1,614,73.52860382,80.41939618,83.6336598,ATL
418,2016,Matt Schaub,66.6,5.186173854,90,58.97836729,3,3137,51.2,80,73.52860382,63.68515073,58.07692164,ATL
426,2016,Matthew Stafford,81.4,-1.43394935,1,70.03124904,594,3691,67.9,592,73.52860382,71.0418505,73.03435711,DET
432,2016,Mike Glennon,74.9,-3.28,73,39.51006711,11,619,66.2,0,73.52860382,63.59114548,57.35322372,TB
463,2016,Nick Foles,67.2,-2.386721424,88,63.86445661,55,1230,59.2,337,73.52860382,69.17442761,66.96254762,KC
488,2016,Philip Rivers,70.7,4.731690623,4,80.51761378,578,5309,82.1,661,73.52860382,78.97795819,82.52958467,SD
493,2016,Robert Griffin III,57.6,-3.45,2,57.16310951,147,1063,0,0,73.52860382,66.74104219,61.86315206,CLE
503,2016,Russell Wilson,83.8,-2.244353183,3,80.21333767,546,1735,83.9,483,73.52860382,77.11377019,78.55663352,SEA
517,2016,Ryan Fitzpatrick,51.8,3.770704997,250,68.08120875,403,3338,65.8,562,73.52860382,69.77014893,67.7249842,NYJ
